Projet;EOV / EBV;Matériel principal;Open-source;Low cost;Science participative;Low tech;Article scientifique;Git;Site web;Coût;Achat possible;Base de donnée;Dissémination;Réplication du projet;Technique;Profondeur max;Gamme de mesure;Résolution (plus petite valeur mesurable);Measurement error «e» (linked to accuracy);Systematic measurement error (linked to truness);Precision (répétabilité, fiabilité);Trueness (exactitude de la moyenne, justesse);Accuracy (exactitude);influence accuracy;Respect de norme;Conclusion;Comparaison capteurs commercial;lien documentation de validation;intégration mécanique;intégration électronique;lien doc technique;mot clé;remarque;Typologie de mise en oeuvre;Indice de réparabilité;Durée de vie;Empreinte carbone
Salinity (shrimp);Salinité;"- Microship PIC16LF1518 - résistance - potentiomètre - diode";;x;;;x;;;$ 10;;;Bangladesh;réaliser par les fermiers;Mesure de la conductivité de l’eau;;"Min : 0 ppt Max : 40 ppt";;-0,5 ppt ≤ e ≤ 0,5 ppt;erreur de +-0,51 ppt;écart type 0,293 ppt;;;;;Appareil avec une précision suffisante pour réaliser les  mesures pour l’élevage de crevettes;6600 YSI Conductivity Instrument confidence interval 95%;https://www.ysi.com/file%20library/documents/manuals%20for%20discontinued%20products/adv6600.pdf;;;;Bridge circuits ,  Conductivity , Resistance , Current measurement , Conductivity measurement , Batteries , Production;gros impact social;;;;
Salinity with Smartphone;Salinité;- Smartphone Sony Xperia E3;;x;;;x;;;;;;Inde;;"Méthode de Beer-Lambert et Etude des interférences électromagnétiques";Surface;"Min : 0,13 ppt (direct light) 0,04 ppt (U shapped) Max : 100 ppt";;;"erreur +-0,017 ppt (direct light) erreur +-0,011 ppt (U shapped)";« haute »;;;;;Le capteurs conviennent à la surveillance de la salinité dans les études océanographiques;"Comparaison de trois méthode : Beer-lambert, Etude des interférence électromagnétique et Conductivité du milieu (conductimètre de banc 3540, Bibby Scientific)  U shapped mesures/théorie R2=0,984";https://www.ysi.com/exo3;;;;SmartphoneSalinity sensorBeer-Lambert principleSensitivityAmbient light sensor (ALS);utilisation d’application gratuite;;;;
EC DIY;"Salinité Température Profondeur";- Raspberry Pi;DIY;x;;;x;x;;$ 100;;;USA;;Mesure de la conductivité avec 4 électrodes;40 m;"Min : 0 mS/cm Max : 90 mS/cm";0,1 mS/cm;;erreur de +-3 % conductivité;écart type des différents modèles compris entre 0,47 mS et 2,00 mS;;;;;Capteur pertinent qui affiche des résultats similaire à certains dispositifs commerciaux;"YSI-EX03 Corrélation linéaire R2=0,99";https://www.ysi.com/exo3;;;;Low-cost sensor, electronical conductivity, CTD, microPython, Estuarine circulation;;;;;
SmartFluo (chlorophylle a);Fluorescence;- Smartphone (Samsung Galaxy S3 mini);x;x;;;x;;;33€ - 73 € + prix du smartphone;;;MAP : Spain, Ireland, Germany, Norway;;quantification de la lumière rouge  présente sur l’image prise par le téléphone;Surface;"Min : 10 µg/L Max : 250 µg/L";;"1 DN/s ≤ e ≤ 80 DN/s  (plus d’erreur proche de 1 que de 80 DN/s)";;4,5 DN/s (conversion de l’irradiance en nombre numérique par le téléphone selon les normes de colorimétrie);;;charge-couple device (CCD) chip of the camera and its settings e.g., scene mode and white balance;colorimetric standards worked out by Commission Internationale de l’Eclairage 1931 XYZ color space;"Bons résultats avec une précision qui permet d’étudier la présence de chlorophylle  Ne remplace pas complètement les instruments haut de gamme";"LS 55, PerkinElmer corrélation linéaire R2 = 0.98";https://www.s4science.at/wordpress/wp-content/uploads/2019/04/LS-55-Users-Guide.pdf;;;;citizen science, affordable sensors, marine environment, open laboratory ware, LED, 3D printing;"application EyeonWater app  Résolution camera telephone 2560 × 1920";;;;
Fluoromètre Phytoplancton;Fluorescence;"- Arduino Duemilanove - led";;x;;;x;;;$ 150;;;Damariscotta River Estuary, USA;;quantification du voltage transmis après excitation de la chlorophylle avec une led à 448 nm;2 m;"Min : 0 µg/L Max : 100 µg/L";;e ≥ 0,3 µg/L;Erreur 4 % comparer à un instrument commercial;;;;turbidité élevée, température sur des déploiements prolongés;;Précision suffisante pour de nombreuses applications océanographiques et de surveillance de la qualité de l’eau (efflorescences de phytoplancton, détection des proliférations d’algues nuisibles, …);Étalonnage avec le fluoromètre WETStar corrélation linéaire R2=0,886;https://www.comm-tec.com/Prods/mfgs/Wetlabs/brochures/WetStar_specs.pdf;;;;fluorometer, fluorescence, phytoplankton, chlorophyll, Arduino, inexpensive, sensors, oceanography, technology, education;étanchéité réalisé sur un boîtier plexi;;;;
Chlorophyll-a HD DVD;Fluorescence;"- Arduino Nano - lecteur de disque numérique haute définition (HD-DVD)";;x;;;x;;;$ 140;;;;;quantification du voltage transmis après excitation de la chlorophylle avec le laser de l’OPU à 405 nm;Surface;"Min : 0,35 µg/L Max : 100 µg/L";;0 µg/L ≤ e ≤ 4 µg/L;Erreur < 4 %;;;;;;Permet le suivie de la qualité de  l’eau et étends les scénarios d’application des fluorimètres;"Comparaison avec des solutions standards du marché corrélation linéaire R2=0,99 Cf tableau 2 article scientifique";https://www.ysi.com/accessory/id-6025/6025-chlorophyll-sensor;;;;Chlorophyll-aFluorescence detectionOptical pick-up unitPortable deviceWater quality monitoring;;;;;
Fluoromètre Rhodomine;Fluorescence;"- Custom PCB - led";;x;;;x;;;$ 750;;;Quebec;;quantification du voltage transmis après excitation des RWT avec une led à 555 nm;500 m;"Min : 0,2 µg/L Max : 60 µg/L";;0,11 mV ≤ e ≤ 0,37 mV;Erreur 2 %;;;;;;Obtient des résultats qui peuvent compétitif par rapport aux capteurs commerciaux;"Turner Cyclops-7 et AML X2Change R2=0,99";;;;;Optical filters, Underwater vehicles, Prototypes, Fluorescence, Lenses, Optics,Costs;résultat meilleur que certains systèmes du marché;;;;
SSC Sensor;Turbidité;"- ESP32 microcontroller - capteur turbidité (Turbimax CUS52D)";x;x;;;x;x;x;64,00 €;;;Spoel river in Switzerland;;observation de la lumière diffusée par une source LED 805 nm;N.C;"Min : 0 NTU Max : 4000 NTU";;0,4 g/L ≤ e ≤ 16 g/L;10,00 %;;;;;;Récupération de donnée à moindre coût qui nécessite un post traitement en prenant la moyenne sur un intervalle d’échantillonnage;"turbidimètres CUS51D et CUS52D de chez Endress+Hauser Comparaison mesures/valeurs attendues R2=0,984";;;;;ammonia,  NH3, fluorescence sensor, pigs;;;;;
STAR;Turbidité;"- photodiode - led";;x;;;x;;;$ 70;;;New York;;observation d’une tension de référence et mesure et de la tension de la photodiode qui voit le milieu;70 m;"Min : 8 NTU Max : 100 NTU  Test réalisé jusqu’à 815 NTU avec une autre version";0,01 NTU;0,3 % ≤ e ≤ 5,4 %;+-0,11 NTU;Écart-type 0,13 NTU;;;;;Performance fiables et précises;"Campbell Scientific OBS-3+  YSI 6920 sonde equipped with an optical turbidity sensor cf figure 10";https://www.campbellsci.com/obs-3plus;;;;Environmental monitoring, Fluorescence, Fluorometer,nephelometer, optical backscatter,turbidimeter, turbidity sensor, Underwater, technology, water quality;;;;;
Smart Turbimeter;Turbidité;"- Arduino possible - photodiode - photorésistance";;x;;;x;;;9,00 €;;;;;observation de la quantité de lumière avec la photorésistance (différenciation des espèces) et de l’intensité de la lumière grâce a la photodiode (calcul de la turbidité);Surface;"Min : 12 NTU Max : 200 NTU";0,01 NTU;e ≤ 3,27%;+-0,13 NTU with Red light;;;;;;Prototype capable de déterminer la turbidité et de différencier la turbidité sédimentaire de la turbidité phytoplanctonique;"Hach 2100N  Expérience à déterminer";https://fr.hach.com/2100n-turbidimetre-de-laboratoire-epa-180-1-230-v/product-details?id=24929167924;;;;Turbidity sensorPhytoplanktonSuspended sedimentWater qualityFish farms;différencie phytoplancton et sédiment;;;;
Low power sensor;Turbidité;"- phototransistor - photodiode";;x;;;x;;;2 à 3 fois moins cher que ceux sur le marché;;;;;mesure de l’intensité de la lumière diffusée et de la lumière transmise;Surface;"Min : 0 NTU Max : 1000 NTU";"0,1 NTU jusqu’à 100 NTU 1,0 après 100 NTU";;"15 % jusqu’à 100 NTU 25 % après 100 NTU";;;;;ISO7027;Capteur moins précis que ceux du marché mais qui permet de suivre les changement de qualité de l’eau avec des résultat acceptable en diminuant le coût;HI 93703;;;;;Monitoring , Wireless sensor networks , Sensor systems , Calibration , Phototransistors , Light sources;;;;;
